S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
27,27-Jul-2017 - 00:00,28-Jul-2017 - 00:00,39.34,108.95,1.61,9.38,6.3,2.31,28.73,0,20.93,4.05,8.19,27.4,70.24,2.48,281.75,199.51,737.36,0.09,31.2,0,2.02,0
28,28-Jul-2017 - 00:00,29-Jul-2017 - 00:00,33.8,104.28,1.84,10.39,7.02,10.6,31.88,0,18.38,3.61,8.99,27.22,74.98,1.86,288.27,185.91,740.56,0.09,29.34,0.29,2.1,28
29,29-Jul-2017 - 00:00,30-Jul-2017 - 00:00,26.47,96.94,1.68,10.21,6.76,2.7,26.36,0,22.94,3.25,10.75,28.26,77.11,1.63,273.84,164.44,723.78,0.09,28.77,0.16,2.29,11.5
30,30-Jul-2017 - 00:00,31-Jul-2017 - 00:00,35.52,7,2.31,16.02,10.18,,6.6,0,,2.43,1.86,,76.29,1.17,268.42,167.26,742.85,0.04,30.38,0.01,1.75,0.5
31,31-Jul-2017 - 00:00,01-Aug-2017 - 00:00,29.3,58.48,1.79,10.31,6.53,6.34,25.3,0,149.19,0.97,0.45,44.83,73.65,1.16,233.92,176.9,715.24,0.06,31.09,0.05,1.05,5
32,01-Aug-2017 - 00:00,02-Aug-2017 - 00:00,51.65,139.1,2.12,12.65,8.44,2.78,29.65,0,15.28,0.01,0,28.1,74.66,1.16,290.54,146.64,,0.07,29.81,0.01,0,1
33,02-Aug-2017 - 00:00,03-Aug-2017 - 00:00,45.64,105.49,1.67,11.8,7.62,3.58,25.06,0,12.04,0,0,27.09,72.65,1.42,301.48,133.47,739.01,0.06,30.18,0,0,0
34,03-Aug-2017 - 00:00,04-Aug-2017 - 00:00,43.14,83.83,1.91,9.71,6.72,3.73,,0,11.86,1.01,3.09,26.84,68.93,1.74,297.64,128.79,,0.08,30.8,0,0.79,0
35,04-Aug-2017 - 00:00,05-Aug-2017 - 00:00,40.21,92.14,1.8,8.39,5.93,4.48,28.31,0,11.47,2.66,11.13,27.9,66.05,1.31,230.42,186.16,,0.08,32.92,0,1.38,0
36,05-Aug-2017 - 00:00,06-Aug-2017 - 00:00,35.14,84.01,1.88,11.18,7.34,6.21,,0,6.18,2.69,11.54,33.17,71.97,1.2,279.02,136.37,,0.06,29.95,0.12,0.7,11.5
37,06-Aug-2017 - 00:00,07-Aug-2017 - 00:00,54.93,180.05,1.52,11.36,7.27,3.13,35.05,0,28.48,3.66,7.43,26.43,72.44,1.06,240.72,164.14,,0.04,30.45,0,0,0
38,07-Aug-2017 - 00:00,08-Aug-2017 - 00:00,66.02,184.22,1.84,15.24,9.6,4.31,,0,22.47,4.46,9.73,27.55,73.01,1.87,289.66,176.89,,0.05,30.99,0.01,0,0.5
39,08-Aug-2017 - 00:00,09-Aug-2017 - 00:00,59.36,178.07,1.81,14.81,9.34,4.56,27.16,0,23.9,4.39,7.95,27.2,73.74,2.12,276.17,130.35,,0.07,29.86,0,0,0
40,09-Aug-2017 - 00:00,10-Aug-2017 - 00:00,52.96,136.57,1.74,12.87,8.25,4.22,32.95,0,23.04,3.54,6.01,27.72,74.95,2.44,275.4,170.14,,0.06,29.3,0.02,0,1.5
41,10-Aug-2017 - 00:00,11-Aug-2017 - 00:00,47.21,122.56,1.77,12.93,8.31,3.62,35.52,0,25.02,3.7,7.37,26.37,74.41,2.61,275.53,208.15,707.19,0.07,29.64,0,0,0
42,11-Aug-2017 - 00:00,12-Aug-2017 - 00:00,40.33,105.16,1.99,11.78,7.88,3.29,36.9,0,21.58,3.24,5.01,26.03,73.52,3.5,279.95,171.62,,0.12,29.45,0,0,0
43,12-Aug-2017 - 00:00,13-Aug-2017 - 00:00,53.38,120.75,1.57,15.52,9.53,3.05,33.67,0,16.86,4.36,5.8,26,78.36,1.5,282.76,96.08,,0.07,26.83,0.25,0,22.5
44,13-Aug-2017 - 00:00,14-Aug-2017 - 00:00,47.6,93.24,1.71,16.21,9.94,2.1,24.51,0,20.48,2.13,2.41,42.98,76.95,2.3,292.11,121.41,,0.06,29.01,0,0,0
45,14-Aug-2017 - 00:00,15-Aug-2017 - 00:00,24.39,51.14,2.02,9.97,6.71,7.42,12.14,0,27.16,1.34,3.11,43.27,74.45,1.05,253.15,184.32,721.22,0.05,30.05,0,0.64,0
46,15-Aug-2017 - 00:00,16-Aug-2017 - 00:00,52.95,147.78,1.51,10.71,6.92,1.84,11.37,0,33.71,4.14,7.61,27.86,76.4,1.19,255.08,170.28,740.52,0.03,29.71,0.07,1.98,7
47,16-Aug-2017 - 00:00,17-Aug-2017 - 00:00,61.19,139.35,1.71,15.15,9.45,2.88,31.51,0,23.14,4.29,12.96,27.6,76.06,1.65,280.35,94.7,736.86,0.08,29.42,0.01,2.43,0.5
48,17-Aug-2017 - 00:00,18-Aug-2017 - 00:00,55.05,119.89,1.64,13.37,8.44,3.19,32.75,0,24.06,4.39,11.45,27.1,79.41,0.82,216.67,70.18,732.53,0.06,26.89,0.02,2.99,1.5
49,18-Aug-2017 - 00:00,19-Aug-2017 - 00:00,46.27,84.06,1.6,14.74,9.12,3.28,29.63,0,13.31,4.28,15.85,26.93,80.47,0.83,290.54,49.55,729.04,0.07,24.95,0.04,3.01,3.5
50,19-Aug-2017 - 00:00,20-Aug-2017 - 00:00,42.21,73.66,1.68,12.85,8.2,3.12,31.54,0,15.62,3.93,15.29,27.12,82.98,1.88,284.78,53.23,731.81,0.08,24.05,0.02,2.37,2
51,20-Aug-2017 - 00:00,21-Aug-2017 - 00:00,33.84,66.2,1.61,12.93,8.18,4.62,18.81,0,19.89,3.26,7.64,33.27,80.55,1.03,279.28,109.27,734.2,0.03,25,0.11,1.48,10
52,21-Aug-2017 - 00:00,22-Aug-2017 - 00:00,19.67,56.47,1.72,7.56,5.32,3.67,30.66,0,17.43,4.67,9.92,37.59,77.02,1.54,253.54,140.8,735.82,0.04,28.05,0.01,1.58,0.5
53,22-Aug-2017 - 00:00,23-Aug-2017 - 00:00,33.96,94.1,1.96,11.81,7.88,2.23,30.65,0,,3.39,11.7,27.27,75.6,1.89,274.35,142.74,736.93,0.07,27.88,0,1.95,0
54,23-Aug-2017 - 00:00,24-Aug-2017 - 00:00,31.27,73.45,1.91,10.55,7.17,2.51,30.03,0,21.34,4.04,8.48,28.01,77.18,1.37,259.1,177.5,738.53,0.06,27.55,0.13,2.15,12.5
55,24-Aug-2017 - 00:00,25-Aug-2017 - 00:00,33.17,84.78,1.59,10.69,6.98,2.53,29.89,0,,4.1,8.82,27.21,75.48,1.53,253.9,192.98,733.95,0.07,28.08,0,2.44,0
56,25-Aug-2017 - 00:00,26-Aug-2017 - 00:00,46.02,121.98,1.6,11.19,7.25,2.78,17.73,0,,5.56,11.17,27.34,76,1.23,262.35,158.85,731.29,0.05,29.01,0.18,2.2,13.5
57,26-Aug-2017 - 00:00,27-Aug-2017 - 00:00,40.22,78.99,1.57,12.37,7.86,2.97,37.6,0,,3.89,12.72,34,76.22,1.65,268.26,202.15,729.56,0.06,29.01,0,1.1,0
58,27-Aug-2017 - 00:00,28-Aug-2017 - 00:00,29.72,51.47,1.91,11.36,7.32,0.13,33.11,0,,2.59,2.48,58.81,79.98,1.2,277.62,88.32,730.9,0.03,29.17,0.3,1.31,20.5
