S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3),TOT-RF (mm)
373,08-Jul-2018 - 00:00,09-Jul-2018 - 00:00,33.5,79.7,9.31,37.57,27.54,10.54,10.6,0.48,17.96,4.81,13.02,29.98,76.15,2.32,303.58,134.56,730.45,0,28.64,0,2.61,0
374,09-Jul-2018 - 00:00,10-Jul-2018 - 00:00,34.42,89.68,9.04,41.46,29.4,10.1,17.87,0.49,20.49,4.61,12.58,29.75,72.93,3.48,315.59,110.29,730.72,0.03,29.18,0,3.22,0
375,10-Jul-2018 - 00:00,11-Jul-2018 - 00:00,30.21,83.09,10.18,38.69,28.85,10.32,26.83,0.48,16.69,4.22,10.32,29.5,74.99,3.61,302.47,95.78,734.01,0.06,28.39,0,3.31,0
376,11-Jul-2018 - 00:00,12-Jul-2018 - 00:00,31.22,83.66,22.83,43.11,41.52,14.33,27.77,0.4,9.07,5.13,10.86,31.11,78.26,3.23,302.45,49.67,734.54,0.05,27.48,0,4.18,0
377,12-Jul-2018 - 00:00,13-Jul-2018 - 00:00,26.26,70.86,19.15,44.01,38.08,14.45,31.62,0.83,8.97,5.38,12.02,32.14,74.55,3.31,313.84,109.55,730.16,0.05,27.97,0,5.2,0
378,13-Jul-2018 - 00:00,14-Jul-2018 - 00:00,28.2,82.16,14.22,36.35,30.9,11.69,17.53,0.46,13.16,4.52,11.12,29.1,74.02,3.25,300,130,730.47,0.03,28.45,0,3.84,0
379,14-Jul-2018 - 00:00,15-Jul-2018 - 00:00,36.38,84.42,16.59,37.96,33.67,9.65,2.97,0.56,7.38,5.02,13.46,26.29,78.4,2.74,286,71.17,729.77,0.02,27.48,0,4.65,0
380,15-Jul-2018 - 00:00,16-Jul-2018 - 00:00,21.67,48.15,13.74,35.04,29.8,6.88,3.94,0.41,5.98,4.6,11.34,26.87,80.32,3.15,277.62,69.17,727.79,0.03,26.9,0.02,3.69,1.5
381,16-Jul-2018 - 00:00,17-Jul-2018 - 00:00,28.91,100.4,12.42,33.76,28.05,14.52,13.86,0.51,9.57,4.59,10.05,29.88,75.12,4.22,300.46,124.64,729.33,0.05,28.65,0,3.88,0
382,17-Jul-2018 - 00:00,18-Jul-2018 - 00:00,23.62,78.44,11.86,32.91,26.62,16.8,11.42,0.37,13.96,4.51,12.9,30.38,67.43,3.75,295.81,159.28,728.51,0.04,30.34,0.01,3.52,0.5
383,18-Jul-2018 - 00:00,19-Jul-2018 - 00:00,29.86,81.12,12.99,33.44,28.34,12.81,5.25,0.47,12.82,4.06,11.77,29.5,65.65,2.73,267.98,166.47,731.6,0.01,30.97,0,3.02,0
384,19-Jul-2018 - 00:00,20-Jul-2018 - 00:00,22.29,58.27,12.25,33.78,27.94,13.35,6.95,0.4,13.59,3.86,14.63,30.48,73.41,1.36,274.64,87.18,730.48,0.01,28.81,0.09,3.21,8.5
385,20-Jul-2018 - 00:00,21-Jul-2018 - 00:00,28.45,68.31,24.06,39.23,40.42,9.09,5.39,0.56,7.27,5.58,19.03,27.8,81.4,2.22,269.96,51.12,731.73,0.02,26.59,0.41,4.97,34.5
386,21-Jul-2018 - 00:00,22-Jul-2018 - 00:00,27.94,59.68,21.37,40.23,38.77,7.5,4.57,0.59,7.93,5.78,17.38,27.36,80.67,2.15,271.46,56.95,733.43,0,26.95,0.03,5.67,1.5
387,22-Jul-2018 - 00:00,23-Jul-2018 - 00:00,32.66,92.7,10.83,35.88,27.89,7.4,10.6,0.51,11.99,4.82,12.73,27.17,72.65,2.7,271.05,84.65,733.98,0.02,28.6,0.01,4.15,0.5
388,23-Jul-2018 - 00:00,24-Jul-2018 - 00:00,36.2,139.08,10.08,36.31,27.51,11.07,12.74,0.71,19.05,6.45,10.7,28.43,70.16,3.07,274.16,189.57,736.18,0.02,29.79,0,3.72,0
389,24-Jul-2018 - 00:00,25-Jul-2018 - 00:00,42.11,138.44,9.21,39.3,28.39,11.61,12.28,0.59,19.65,6.3,10.09,29.01,73.42,2.54,290.06,168.32,739.48,0.01,29.6,0,3.75,0
390,25-Jul-2018 - 00:00,26-Jul-2018 - 00:00,45.23,132.72,10.25,39.26,29.21,10.64,9.67,0.66,15.9,6.34,11.38,28.94,75.98,1.52,303.97,128.31,738.03,0.02,29,0.21,3.96,20.5
391,26-Jul-2018 - 00:00,27-Jul-2018 - 00:00,42.98,148.08,11.25,43.39,32.22,7.91,7.67,0.59,14.76,5.58,13.31,28.05,70.75,2.25,274.08,153.25,740.02,0.02,30.02,0,4.65,0
392,27-Jul-2018 - 00:00,28-Jul-2018 - 00:00,36.93,126.67,10.68,38.92,29.38,8.57,12.49,0.54,14.79,6.46,18.72,28.45,72.9,2.2,259.23,102.74,739.84,0,28.98,0,3.59,0
393,28-Jul-2018 - 00:00,29-Jul-2018 - 00:00,35.42,109.74,8.39,35.44,25.67,9.71,14.88,0.52,21.36,4.73,11.14,29.85,73.07,2.42,262.75,127.08,738.7,0.02,29.58,0,3.55,0
394,29-Jul-2018 - 00:00,30-Jul-2018 - 00:00,39.85,126.15,9.26,33.79,25.5,9.12,3.98,0.47,19.08,4.12,11.4,28.64,70.34,2.37,281.44,201.4,736.66,0.02,30.47,0,2.14,0
395,30-Jul-2018 - 00:00,31-Jul-2018 - 00:00,43,157,19.06,55.65,44.79,9.69,12.17,0.96,13.23,8.69,17.72,31.66,71.46,1.55,287.81,89.59,730.96,0.01,30.62,0,8.33,0
396,31-Jul-2018 - 00:00,01-Aug-2018 - 00:00,60,163,8.7,37.95,27.25,9.66,8.12,0.42,11.23,4.62,12,27.83,74,2.6,299.48,72.57,734.19,0.04,29.2,0,3.21,0
397,01-Aug-2018 - 00:00,02-Aug-2018 - 00:00,63.67,208.33,7.09,38.84,22.89,10.8,15.58,0.49,10.69,6.1,11.2,29.55,72.59,2.7,266.32,11.32,733.05,0.01,29.8,0,4.18,0
398,02-Aug-2018 - 00:00,03-Aug-2018 - 00:00,40.97,111.8,10.05,35.38,26.99,7.79,7.64,0.35,18.86,3.54,11.33,28.47,64.41,3.12,283.83,169.24,735.52,0.02,30.07,0,2.67,0
399,03-Aug-2018 - 00:00,04-Aug-2018 - 00:00,52.34,164.29,12.79,40.69,32.04,8.41,7.3,0.51,16.64,4.45,16.13,28.5,66.42,2.52,269.78,139.47,737.81,0.01,30.08,0,3.68,0
400,04-Aug-2018 - 00:00,05-Aug-2018 - 00:00,53.38,166.09,17.94,46.58,39.36,10.14,6.38,0.67,19.9,6.15,23.31,28.97,66.86,2.31,176.76,184.94,738.12,0.01,30.33,0.13,5.01,12.5
401,05-Aug-2018 - 00:00,06-Aug-2018 - 00:00,,112.81,6.33,29.02,20.58,11.05,2.16,0.39,22.83,4.46,19.78,28.39,63.06,2.39,138.52,232.5,738.56,0,31.46,0,2.28,0
402,06-Aug-2018 - 00:00,07-Aug-2018 - 00:00,50.5,138.47,14.29,43.63,34.83,11.03,9.95,0.55,19.7,7.34,15.15,29.3,66.78,1.98,298.41,122.29,734.72,0,30.03,0.01,4.95,0.5
403,07-Aug-2018 - 00:00,08-Aug-2018 - 00:00,44.35,80.68,14.31,35.07,30.29,11,2.51,0.52,8.53,4.99,15.61,27.08,78.71,2,281.28,79.16,733.25,0.01,26.91,0.1,4.05,9
404,08-Aug-2018 - 00:00,09-Aug-2018 - 00:00,39.73,86.61,17.07,42.23,36.34,8.87,4.99,0.6,8.96,5.34,13.35,26.99,78.14,2.36,237,104.98,734.65,0.01,27.3,0.05,4.92,4
405,09-Aug-2018 - 00:00,10-Aug-2018 - 00:00,45.12,108.88,11.79,37.27,29.41,10.79,8.93,0.6,13.81,4.62,12.74,27.64,70.46,2.66,242.95,167.8,738.53,0.01,29.7,0,3.69,0
406,10-Aug-2018 - 00:00,11-Aug-2018 - 00:00,52.77,106.06,18.55,45.71,39.39,11.96,7.74,0.65,11.23,5.67,17.52,28.36,74.55,2.04,175.48,126.53,738.33,0.01,29.06,0.29,4.03,14
407,11-Aug-2018 - 00:00,12-Aug-2018 - 00:00,31.73,66.39,21.99,42.77,40.62,8.06,5.04,0.61,6.29,4.97,18.99,27.17,78.57,1.66,171.04,33.29,733.51,0,27.85,0.04,4.54,2.5
408,12-Aug-2018 - 00:00,13-Aug-2018 - 00:00,22,51.18,18.24,42.51,37.43,11.6,5.45,0.42,10.19,3.55,16.01,29.62,75.09,0.93,313.18,6,730.32,0,27.11,0,2.85,0
409,13-Aug-2018 - 00:00,14-Aug-2018 - 00:00,36.07,50.5,32.23,47.02,51.22,10.58,11.67,0.68,3.4,6.32,16.09,30.72,85.23,2.43,269.42,36.54,729.9,0.01,26.23,0.35,6.42,16.5
410,14-Aug-2018 - 00:00,15-Aug-2018 - 00:00,48.63,82.98,27.13,58.19,53.01,11.99,13.23,1.01,7.21,6.79,18.43,28.47,80.74,2.07,267.48,137.43,726.17,0.01,28.39,0.12,7.61,4.5
411,15-Aug-2018 - 00:00,16-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,0
412,16-Aug-2018 - 00:00,17-Aug-2018 - 00:00,42.3,116.83,13.34,34.49,29.19,13.96,5.68,0.83,11.3,6.05,11.75,26.58,77.33,3.63,270.1,161.85,733.63,0.02,28.51,0,5.02,0
413,17-Aug-2018 - 00:00,18-Aug-2018 - 00:00,27,69.15,13.29,43.02,33.68,34.07,8.14,0.54,9.3,4.52,11.59,27.48,70.46,3.21,276.64,169.65,734.29,0.02,29.34,0,3.83,0
414,18-Aug-2018 - 00:00,19-Aug-2018 - 00:00,31.49,64.92,14.31,42.32,34.24,17.16,10.76,0.55,8.38,4.64,14.35,28.31,77.17,2.97,277.35,107.62,734.51,0.02,27.53,0,3.89,0
415,19-Aug-2018 - 00:00,20-Aug-2018 - 00:00,15.43,51.71,10.87,42.21,31.29,40.08,16.75,0.54,15.2,7.39,35.89,36.93,78.71,2.53,279.79,6.93,734.14,-0.01,27,0,1.59,0
416,20-Aug-2018 - 00:00,21-Aug-2018 - 00:00,21.76,52.29,15.31,38.55,32.96,20.11,18.01,1.03,14.2,5.07,14.14,28.53,73.48,2.68,283.59,165.52,733.05,0.01,29.18,0,5.71,0
417,21-Aug-2018 - 00:00,22-Aug-2018 - 00:00,21.95,50.32,14.63,32.52,29.19,11.29,30.57,0.85,11.33,3.66,11.33,27.81,70.41,3.32,282.14,200.94,737.21,0.03,28.88,0.01,3.26,0.5
418,22-Aug-2018 - 00:00,23-Aug-2018 - 00:00,30.16,66.85,12.29,32.62,27.35,10.5,21.18,0.88,14.03,3.9,13.41,28.16,64.16,2.49,280.31,187.79,740.15,0.01,30.52,0,3.3,0
419,23-Aug-2018 - 00:00,24-Aug-2018 - 00:00,31.13,72.81,9.43,31.75,24.55,11.11,21.58,0.91,13.39,3.82,13.73,28.67,65.67,2.3,301.7,198.04,740.04,0,30.98,0,2.86,0
420,24-Aug-2018 - 00:00,25-Aug-2018 - 00:00,,35.33,,,,,10.65,0.95,17.85,2.58,10.93,30.48,57.17,2.5,253.33,565.67,740.67,0.03,33.4,0,1.93,0
421,25-Aug-2018 - 00:00,26-Aug-2018 - 00:00,37,93.42,17.06,42.19,36.33,8.91,2.33,1.39,14.35,6.71,19.01,27.27,73.67,1.67,264.39,135.28,740.61,0,28.93,0,5.85,0
422,26-Aug-2018 - 00:00,27-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,0
423,27-Aug-2018 - 00:00,28-Aug-2018 - 00:00,35.03,96,39.24,54.44,60.94,23.05,16.61,0.8,,7.21,54.29,28,71.33,2.03,257.67,12.1,730.83,0,28.23,0,38.23,0
424,28-Aug-2018 - 00:00,29-Aug-2018 - 00:00,42.41,112.49,12.54,48.42,35.95,11.9,10.77,0.93,24.45,7.21,12.56,28.36,73.72,2.64,238.35,116.7,731.44,0,28.85,0,5.46,0
425,29-Aug-2018 - 00:00,30-Aug-2018 - 00:00,48.2,132.67,10.08,37.88,27.86,9.04,5.43,1.11,16.71,5.87,10.93,27.7,76.77,1.96,224.96,101.09,719.17,0.01,28.83,0,4.72,0
426,30-Aug-2018 - 00:00,31-Aug-2018 - 00:00,43.39,108.36,6.19,28.71,20.3,8.64,3.81,0.85,25.32,4.36,10.69,28.33,74.48,2.49,210.16,169.58,722.07,-0.01,29.51,0,3.84,0
427,31-Aug-2018 - 00:00,01-Sep-2018 - 00:00,52.47,129.6,39.1,49.65,58.2,7.86,4.91,1.43,14.76,8.12,22.39,27.39,78.19,1.62,199.56,96.74,738.51,0,28.54,0,6.94,0
428,01-Sep-2018 - 00:00,02-Sep-2018 - 00:00,34.19,81.94,25.34,42.12,43,5.9,5.8,1.09,9.33,5.02,17.32,27.71,71.05,1.87,242.19,121.27,740.09,0.01,29.13,0,5.52,0
429,02-Sep-2018 - 00:00,03-Sep-2018 - 00:00,39.8,98.54,11.55,38.1,29.66,8.38,21.74,1,19.3,4.51,15.45,27.84,67.66,2.4,247.75,159.74,740.96,-0.01,29.69,0,2.79,0
430,03-Sep-2018 - 00:00,04-Sep-2018 - 00:00,45.28,105.68,11.25,41.92,31.44,9.64,25.4,0.93,17.85,5.08,14.75,27.82,67.99,2.23,244.78,145.84,741.28,0,29.82,0,3.65,0
431,04-Sep-2018 - 00:00,05-Sep-2018 - 00:00,41.36,101.58,12.44,41.35,32.11,8.26,3.69,0.99,18.6,4.59,14.74,26.95,71.26,2.6,250.57,140.21,742.35,0,29.02,0,3.9,0
432,05-Sep-2018 - 00:00,06-Sep-2018 - 00:00,39.31,92.16,15.01,39.97,33.46,8.15,5.67,0.88,15.93,5.05,16.7,27.22,68.07,2.84,259.04,129.95,740.14,0.01,29.5,0,4.38,0
433,06-Sep-2018 - 00:00,07-Sep-2018 - 00:00,48.63,134.78,18.61,45.57,39.38,7.83,11.85,0.94,11.66,5.15,15.14,26.78,66.67,2.57,254.47,77.63,733.85,0.01,28.97,0,4.92,0
434,07-Sep-2018 - 00:00,08-Sep-2018 - 00:00,39.57,104.96,15.96,42.69,35.68,7.4,8.74,0.96,13.83,5.42,16.12,26.84,69.25,2.76,251.39,80.51,739.52,0.03,28.11,0,4.79,0
435,08-Sep-2018 - 00:00,09-Sep-2018 - 00:00,46.61,133.89,10.56,36.54,28.03,8.24,7.97,0.87,29.26,4.52,10.28,27.15,69.36,1.97,212.52,186.29,743.43,0,28.95,0,2.95,0
436,09-Sep-2018 - 00:00,10-Sep-2018 - 00:00,65.74,166.55,13.32,33.9,28.86,9.12,3.5,1.05,37.19,5.44,11.42,27.04,75.48,1.29,201.02,121.9,746,0.02,29.22,0,3.64,0
437,10-Sep-2018 - 00:00,11-Sep-2018 - 00:00,47.58,123.1,10.04,37.18,27.94,7.95,2.95,0.94,21.26,4.87,17.35,27.55,72.41,1.97,232.57,176.24,749.56,0.01,29.64,0,3.27,0
438,11-Sep-2018 - 00:00,12-Sep-2018 - 00:00,47.93,104.81,15.62,42.84,35.49,8.38,4,0.99,16.5,4.91,16.8,27.84,73.48,2.26,240.43,172.11,750.09,0.02,28.98,0,4.15,0
439,12-Sep-2018 - 00:00,13-Sep-2018 - 00:00,56.31,108.95,9.84,38.02,28.22,8.8,4.04,0.98,15.74,5.27,16.75,29.01,76.49,2.5,244.35,143.86,738.76,0.01,28.45,0,4.21,0
440,13-Sep-2018 - 00:00,14-Sep-2018 - 00:00,63.23,108.11,5.33,26.49,18.43,7.99,2.79,0.86,21.47,4.44,16.01,27.77,76.44,2.27,247.35,115.68,744.05,0.01,28.66,0,2.51,0
441,14-Sep-2018 - 00:00,15-Sep-2018 - 00:00,61.56,124.41,13.77,44.42,34.82,9.85,6.3,1.15,17.95,6.39,19.62,28.16,74.69,1.95,237.21,124.11,745.84,0,29.18,0,4.84,0
442,15-Sep-2018 - 00:00,16-Sep-2018 - 00:00,61.75,141.4,17.82,45.07,38.47,10.14,3.01,1.02,29.71,5.66,14.84,28.32,73.3,1.7,199.27,174.45,745.05,0.02,29.29,0,5.82,0
443,16-Sep-2018 - 00:00,17-Sep-2018 - 00:00,67.79,192.9,10.62,50.67,35.59,11.22,2.89,0.93,27.74,5.59,13.96,27.43,77.25,1.43,202.21,95.69,742.47,0.03,28.08,0,5.45,0
444,17-Sep-2018 - 00:00,18-Sep-2018 - 00:00,33.16,84.09,10.25,33.51,26.16,8.06,2.36,0.92,22.51,4.55,10.43,27.15,76.64,1.48,199.72,105.77,740.03,0.02,27.81,0.04,4.08,4
445,18-Sep-2018 - 00:00,19-Sep-2018 - 00:00,43.83,105.12,11.11,41.73,31.23,8.44,2.41,1.01,26.38,5.44,13.04,27.71,74.02,1.43,185.26,153.03,739.46,0.03,28.83,0.01,5.05,0.5
446,19-Sep-2018 - 00:00,20-Sep-2018 - 00:00,46.73,124.55,13.37,43.19,33.84,10.12,2.65,0.96,25.48,4.96,12.99,28.56,70.67,2,225.35,168.77,737.64,0.04,29.71,0.03,4.51,3
447,20-Sep-2018 - 00:00,21-Sep-2018 - 00:00,71.84,106.54,15.66,51.48,40.12,11.31,3.16,1.03,16.62,5.3,19.96,27.29,84.84,1.97,259.49,25.36,731.36,0,26.26,0.34,4.4,32.5
448,21-Sep-2018 - 00:00,22-Sep-2018 - 00:00,37.69,74.25,7.06,35.61,24.68,9.17,4.93,0.81,39.05,3.49,9.28,27.19,78.89,3.98,228.72,151,736.07,0.03,26.91,0.29,2.87,25
449,22-Sep-2018 - 00:00,23-Sep-2018 - 00:00,38.53,74.3,8.23,31.98,23.7,8.63,2.01,0.7,38.54,3.43,9.9,26.92,77.95,1.49,205.52,170.32,749.5,0.01,28.01,0.01,2.76,0.5
450,23-Sep-2018 - 00:00,24-Sep-2018 - 00:00,36.77,99.31,18.58,28.07,30.03,6.31,1.32,0.43,40.93,4.13,10.93,27.26,76.02,1.47,195.68,189.95,753.38,0.03,28.89,0,3.86,0
451,24-Sep-2018 - 00:00,25-Sep-2018 - 00:00,29.26,79.39,15.41,28.59,27.73,5.9,2.33,0.49,15.27,4.15,10.79,27.41,74.36,2,226.55,180.99,751.01,-0.01,29,0,2.66,0
452,25-Sep-2018 - 00:00,26-Sep-2018 - 00:00,28.57,79.31,10.95,32.86,26.39,6.57,1.99,0.43,32.92,4.23,17.12,27.2,74.63,2.17,235.91,147.94,746.72,0.02,28.55,0,2.9,0
453,26-Sep-2018 - 00:00,27-Sep-2018 - 00:00,34.72,102.42,17.38,39.92,35.37,8.01,3.95,0.65,22.86,5.7,11.61,28.71,72.33,1.73,222.69,182.06,745.26,0.01,29.02,0,4.35,0
454,27-Sep-2018 - 00:00,28-Sep-2018 - 00:00,36.32,93.28,16.49,34.11,31.56,9.7,4.54,0.53,17.68,4.45,10.35,30.44,73.23,1.81,219.84,186.17,747.23,0.01,29.23,0,4.51,0
455,28-Sep-2018 - 00:00,29-Sep-2018 - 00:00,17.53,53.89,15.67,26.76,26.97,11.38,4.46,0.15,11.78,4.78,13.81,28.44,71.58,1.95,204.75,188.58,748.01,0.03,29.65,0,2.99,0
456,29-Sep-2018 - 00:00,30-Sep-2018 - 00:00,29.19,88.03,21.89,27.25,32.29,8.04,2.8,0.59,21.73,4.69,13.01,24.21,71.24,1.48,217.46,172.32,747.1,0.03,29.65,0,3.61,0
457,30-Sep-2018 - 00:00,01-Oct-2018 - 00:00,54.01,119.96,18.59,28.51,30.29,7.74,3.04,0.45,38.82,3.99,10.69,24.6,70.59,1.52,189.41,176.34,746.08,0.03,30.04,0,2.3,0
458,01-Oct-2018 - 00:00,02-Oct-2018 - 00:00,71.68,123.73,9.15,29.63,23.19,21.51,3.57,0.52,50.36,4.14,9.54,24.88,72.54,1.62,188.72,169.24,747.09,0.04,29.93,0,2.75,0
459,02-Oct-2018 - 00:00,03-Oct-2018 - 00:00,67,135.49,13.24,32.06,27.32,46.22,4.74,0.46,43.89,4.68,10.39,23.36,72.32,1.65,195.81,174.74,747.96,0.03,29.64,0,4.4,0
460,03-Oct-2018 - 00:00,04-Oct-2018 - 00:00,33.37,103.38,12.8,29.8,26.26,63.62,4.48,0.41,,3.28,9,24.55,70.3,1.85,181.14,214.22,746.14,0.06,30.09,0,1.89,0
461,04-Oct-2018 - 00:00,05-Oct-2018 - 00:00,61.78,142.95,15.88,37.92,32.57,27.93,3.11,0.68,19.05,4.9,11.3,25.63,68.29,1.33,159.26,124.1,749.17,0.05,29.88,0,3.91,0
462,05-Oct-2018 - 00:00,06-Oct-2018 - 00:00,57.93,156.51,23.24,43.41,41.98,24.25,3.33,0.58,21.44,4.71,11.65,25.17,66.29,1.45,167.05,171.67,749.13,0.04,29.81,0,4.03,0
463,06-Oct-2018 - 00:00,07-Oct-2018 - 00:00,79.45,184.62,18.77,45.42,39.41,24.05,3.73,0.66,27.11,5.09,12.36,25.38,67.9,1.46,160.66,149.61,748.61,0.04,29.75,0,5.01,0
464,07-Oct-2018 - 00:00,08-Oct-2018 - 00:00,69.1,155,5.39,33.2,22.05,17.76,3.7,0.55,38.35,3.39,7.79,25.17,67.68,2.05,156.6,166.07,748.22,0.07,30.02,0,2.65,0
465,08-Oct-2018 - 00:00,09-Oct-2018 - 00:00,53.7,123.7,4.45,25.73,17.37,21.68,3.97,0.57,39.22,3.38,8.11,27.39,64.75,2.07,181.78,161.21,745.8,0.07,30.4,0,2.21,0
466,09-Oct-2018 - 00:00,10-Oct-2018 - 00:00,42.93,125.98,5.3,32.74,21.72,14.23,3.71,0.56,35.76,3.94,9.42,28.67,57.65,3.79,233.85,161.36,742.67,0.04,30.59,0,2.72,0
467,10-Oct-2018 - 00:00,11-Oct-2018 - 00:00,30.31,92.89,10.74,40.37,30.2,12.56,10.04,0.63,33.93,4.41,11.48,28.92,60.92,4.97,286.76,55.13,735.11,0.13,28.99,0,3.44,0
468,11-Oct-2018 - 00:00,12-Oct-2018 - 00:00,48.86,134.95,14.37,62.64,45,13.9,27.85,0.94,22.96,7.78,24.38,28.82,67.81,3.01,262.52,25.82,733.16,0.01,28.35,0,5.15,0
469,12-Oct-2018 - 00:00,13-Oct-2018 - 00:00,44.64,113.09,10.08,48.92,34.21,12.53,12.19,0.69,30.25,6.06,17.89,28.37,69.26,2.35,235.98,122,743.14,0,29.22,0,3.59,0
470,13-Oct-2018 - 00:00,14-Oct-2018 - 00:00,68.79,115.07,7.14,38.59,26.32,15.2,5.95,0.53,49.85,3.79,9.83,28.39,77.99,1.8,177.68,148.89,749.84,0.04,28.58,0.32,2.34,30.5
471,14-Oct-2018 - 00:00,15-Oct-2018 - 00:00,57.62,100.48,13.65,47.05,36.12,12.24,8.59,0.58,38.21,4.63,10.56,28.37,79.01,1.33,211.05,122.11,751.96,0.01,27.94,0,3.72,0
472,15-Oct-2018 - 00:00,16-Oct-2018 - 00:00,49.47,98.68,19.19,52.95,43.76,12.48,11.5,0.71,33.07,5.2,12.9,28.49,76.89,1.1,168.71,88.64,753,0.02,28.36,0,4.85,0
473,16-Oct-2018 - 00:00,17-Oct-2018 - 00:00,40.15,83.22,13.14,28.62,25.91,10.31,2.95,0.51,36.73,3.43,10.4,28.29,75.68,1.74,151.02,123.65,753,0.05,28.38,0,3.24,0
474,17-Oct-2018 - 00:00,18-Oct-2018 - 00:00,54.66,93.11,10.55,36.72,28.11,11.47,5.29,0.57,49.2,3.3,8.53,28.62,70.44,1.55,156.18,160.34,751.79,0.04,28.66,0,2.87,0
475,18-Oct-2018 - 00:00,19-Oct-2018 - 00:00,89.5,165.91,21.52,61.94,50.45,12.47,19.78,0.78,67.61,6.25,12.83,28.48,70.54,1.43,199.73,160.93,751.6,0.01,28.16,0,5.72,0
476,19-Oct-2018 - 00:00,20-Oct-2018 - 00:00,,209.9,9.98,51.05,35.27,13.97,13.28,0.78,68.11,6.54,15.01,28,69.56,1.26,188.41,164.6,752.22,0.02,28.56,0,4.77,0
477,20-Oct-2018 - 00:00,21-Oct-2018 - 00:00,70.85,185.7,10.12,46.93,33.19,13.76,10.03,0.68,67.24,5.58,14.21,28.03,69.93,1.35,153.14,158.9,753.99,0.04,28.77,0,4.32,0
478,21-Oct-2018 - 00:00,22-Oct-2018 - 00:00,99.62,215.86,18.86,57.05,45.66,14.86,12.77,0.75,64.99,5.74,12.99,28.4,69.35,1.21,179.98,155.29,754.05,0.03,29.18,0,5.23,0
479,22-Oct-2018 - 00:00,23-Oct-2018 - 00:00,109.86,254.6,12.08,59,41.2,16.4,13.95,0.79,87.09,5.87,12.35,28.65,70.33,1.07,191.06,149.34,753.3,0.03,28.82,0,4.18,0
480,23-Oct-2018 - 00:00,24-Oct-2018 - 00:00,109.05,247.77,20.26,77,57.44,15.92,14.67,0.99,58.98,7.06,14.97,29.02,70.72,1.19,199.86,152.85,753.49,0.02,28.95,0,5.85,0
481,24-Oct-2018 - 00:00,25-Oct-2018 - 00:00,89.61,223.75,20.67,64.26,50.98,13.28,21.77,1.04,53.07,7.07,15.29,28.51,67.78,1.17,203.7,146.25,753.53,0.02,28.69,0,5.35,0
482,25-Oct-2018 - 00:00,26-Oct-2018 - 00:00,78.76,197.44,28.32,60.67,55.29,12.46,13.22,0.88,63.12,6.6,13.87,28.09,64.41,1.49,166.48,142.29,755.91,0.04,28.88,0,5.77,0
483,26-Oct-2018 - 00:00,27-Oct-2018 - 00:00,52.4,123.1,4.03,43.41,26.36,10.69,6.39,0.77,90.43,4.34,9.97,27.89,60.99,1.82,169.57,168.49,756.85,0.05,28.79,0,3.41,0
484,27-Oct-2018 - 00:00,28-Oct-2018 - 00:00,63.77,208.39,12.69,57.55,40.94,11.15,11.01,0.76,91.88,5.33,11.4,28.23,62.64,2.19,175.59,149.36,755.6,0.06,27.76,0,4.63,0
485,28-Oct-2018 - 00:00,29-Oct-2018 - 00:00,43.11,105.3,3.37,21.59,14.22,10.42,7.03,0.6,127.18,3.04,5.21,28.65,59.65,3.53,182.27,134.16,753.29,0.08,27.91,0,1.19,0
486,29-Oct-2018 - 00:00,30-Oct-2018 - 00:00,35.17,71.3,3.53,19.61,13.3,10.16,5.2,0.63,92.68,2.92,5.8,28.57,65.22,3.54,136.22,146.56,750.1,0.11,28.35,0,1.4,0
487,30-Oct-2018 - 00:00,31-Oct-2018 - 00:00,36.78,71.88,3.6,19.55,13.34,9.91,5.49,0.6,72.11,3.23,6.37,28.47,67.99,3.3,142.17,145.55,750.6,0.11,28.12,0,1.4,0
488,31-Oct-2018 - 00:00,01-Nov-2018 - 00:00,22.01,48.63,3.69,16.95,12.02,7.75,3.97,0.56,43.01,2.67,6.08,28.21,70.35,2.82,119.21,147.96,751.92,0.12,27.89,0,1.41,0
489,01-Nov-2018 - 00:00,02-Nov-2018 - 00:00,9.78,32.82,3.71,15.27,11.14,6.62,3.08,0.54,38.11,2.21,5.84,28.33,70.04,2.8,118.55,147.05,752.58,0.11,28.17,0,1.41,0
490,02-Nov-2018 - 00:00,03-Nov-2018 - 00:00,10.45,36.41,4.4,14.57,11.33,6.94,2.59,0.57,29.18,2.31,7.78,28.38,73.08,2.43,123.67,141.89,753.34,0.08,28.29,0,1.51,0
491,03-Nov-2018 - 00:00,04-Nov-2018 - 00:00,7.45,29.19,4.42,13.05,10.54,6.26,1.84,0.54,27.14,1.87,5.55,28.02,73.15,2.22,130.72,147.02,754.96,0.07,28.44,0,1.27,0
492,04-Nov-2018 - 00:00,05-Nov-2018 - 00:00,8.03,28.83,3.66,10.09,8.34,5.83,2.09,0.55,29.21,1.67,4.98,28.11,73.04,1.83,122.65,151.6,755.33,0.04,28.47,0,0.93,0
